plane_height_msl,area_water_m2,area_terrain_m2,volume_m3
491.5,361994.81056329,368340.05274868,2267398.1057934
491.49,361599.09217862,367932.97570021,2263780.1451647
491.48,361204.48328425,367526.99293025,2260166.0975861
491.47,360810.87578887,367121.99631221,2256556.0523282
491.46,360418.36157864,366718.07687237,2252949.9085301
491.45,360026.72667455,366315.01866475,2249347.6350584
491.44,359636.10792063,365912.95881956,2245749.3000022
491.43,359245.89051766,365511.28032938,2242154.8152557
491.42,358854.56899566,365108.47499984,2238564.2927141
491.41,358454.94462258,364697.36971137,2234977.7088192
491.4,357875.26972702,364106.28927918,2231395.4648157
491.39,355774.161767,361993.47940245,2227834.7025145
491.38,355423.6602902,361630.83912327,2224278.623713
491.37,355094.77136686,361289.53597537,2220725.9583042
491.36,354774.61946383,360956.77199739,2217176.5620703
491.35,354458.49281564,360627.89738423,2213630.4407194
491.34,354144.88432865,360301.43869635,2210087.3554578
491.33,353833.0454118,359976.67029175,2206547.5282642
491.32,353522.54291131,359653.17648819,2203010.6791986
491.31,353213.14609777,359330.7432173,2199477.0620277
491.3,352904.6629532,359009.18799089,2195946.4522773
491.29,352597.04076223,358688.46231586,2192418.9378794
491.28,352290.24867085,358368.54036821,2188894.4553939
491.27,351984.11745109,358049.25928162,2185373.0613814
491.26,351678.54789705,357730.52137246,2181854.7566109
491.25,351373.30300058,357412.09655916,2178339.4728294
491.24,351067.69144446,357093.30658138,2174827.2757795
491.23,350760.54667508,356772.99914934,2171318.2239153
491.22,350448.32221671,356447.65902235,2167812.3269049
491.21,350117.88861906,356104.22420037,2164309.5389024
491.2,348469.35554532,354442.9547391,2160810.3136794
491.19,348063.81002816,354024.94091251,2157327.7464752
491.18,347768.88951403,353717.36495587,2153848.5312757
491.17,347483.8164508,353419.51144931,2150372.2201692
491.16,347203.0184296,353125.83862463,2146898.8495493
491.15,346925.03626109,352834.90379865,2143428.1549565
491.14,346649.29335696,352546.14337775,2139960.2476853
491.13,346375.31590107,352259.09606225,2136495.087316
491.12,346102.93652055,351973.60707727,2133032.7639349
491.11,345831.96141934,351689.4903474,2129573.0747276
491.1,345562.46075676,351406.82509848,2126116.0967271
491.09,345294.24927001,351125.431845,2122661.8483121
491.08,345027.08492224,350845.07568082,2119210.280195
491.07,344760.88078526,350565.67732019,2115761.3381375
491.06,344495.50517665,350287.11370058,2112315.0806582
491.05,344230.56771263,350009.00800107,2108871.5469594
491.04,343965.51880131,349730.82812681,2105430.6179609
491.03,343699.13498835,349451.3704195,2101992.4237683
491.02,343428.20610857,349167.45838695,2098556.9442184
491.01,343142.20284008,348868.63132666,2095124.1898591
491,342687.38406,348401.28039693,2091694.4424974
490.99,341048.83724794,346750.43961188,2088282.2695276
490.98,340777.31586442,346466.51725332,2084873.1042266
490.97,340513.86422359,346190.61141683,2081466.6312352
490.96,340253.10418994,345917.36196738,2078062.814554
490.95,339994.23976654,345645.98266774,2074661.6229378
490.94,339736.74564183,345375.95342642,2071262.969591
490.93,339480.26161848,345106.91804299,2067866.8161039
490.92,339224.81307403,344838.90493249,2064473.3373987
490.91,338970.17698989,344571.69683387,2061082.3567572
490.9,338716.55030085,344305.49910225,2057693.9429265
490.89,338463.7285865,344040.11405226,2054308.1041403
490.88,338211.89065711,343775.72555951,2050924.8395798
490.87,337960.64202392,343511.94774839,2047544.090515
490.86,337709.94038196,343248.7477556,2044165.7631326
490.85,337459.45293323,342985.80535396,2040789.9433729
490.84,337208.79519999,342722.75001359,2037416.6519801
490.83,336957.13016019,342458.76157038,2034045.9350223
490.82,336702.43073284,342191.84244779,2030677.7810974
490.81,336437.5197853,341914.85777584,2027312.1787779
490.8,336040.58872121,341506.09894121,2023949.5565116
490.79,334456.16375571,339910.00982648,2020603.1341386
490.78,334190.35490181,339632.51498278,2017259.9092401
490.77,333930.74267799,339361.24290689,2013919.2603499
490.76,333672.781885,339091.64833644,2010581.2500636
490.75,333415.44873491,338822.70468114,2007245.8198294
490.74,333158.75248296,338554.41607994,2003912.9959539
490.73,332902.74898032,338286.8316112,2000582.7320868
490.72,332647.33418641,338019.84132493,1997254.9834963
490.71,332392.6389986,337753.5716504,1993929.7929347
490.7,332138.5472102,337487.90915244,1990607.1617972
490.69,331885.14077538,337222.9413977,1987287.0272895
490.68,331632.48394641,336958.73243644,1983969.5057343
490.67,331380.36511667,336695.0742594,1980654.5295862
490.66,331128.8165917,336432.00554186,1977342.0785176
490.65,330877.43216358,336169.1288372,1974032.1074235
490.64,330625.79234556,335906.04240024,1970724.6477869
490.63,330372.67015514,335641.53881218,1967419.7138497
490.62,330115.04078378,335372.62312072,1964117.3706068
490.61,329843.10720555,335089.56040956,1960817.7316209
490.6,328304.14930813,333539.76065247,1957520.9234
490.59,327933.31413129,333158.3538702,1954239.9708649
490.58,327667.19117299,332881.6126211,1950962.0048912
490.57,327405.5548429,332609.35424149,1947686.5958456
490.56,327145.0785509,332338.25114416,1944413.8610724
490.55,326885.0230882,332067.56211214,1941143.7357829
490.54,326625.2604881,331797.15932946,1937876.1869853
490.53,326365.66345176,331526.91691099,1934611.1929909
490.52,326106.29139503,331256.89304376,1931348.8182196
490.51,325847.14215107,330987.08401094,1928089.0695133
490.5,325588.17431894,330717.44662313,1924831.9059821
490.49,325329.53681151,330448.13197841,1921577.3328207
490.48,325070.96122758,330178.87365841,1918325.2594952
490.47,324812.56339071,329909.78910195,1915075.8372718
490.46,324554.23746431,329640.76873517,1911828.9223908
490.45,324296.19840637,329372.02358913,1908584.6045798
490.44,324038.37448736,329103.48172679,1905342.9537076
490.43,323780.31346262,328834.69650193,1902103.8861231
490.42,323520.96327171,328564.6150197,1898867.3732509
490.41,323254.77032682,328287.69285594,1895633.4937094
490.4,322850.90351738,327873.17375458,1892402.5259835
490.39,321169.48549547,326180.98925864,1889188.8624723
490.38,320922.74637302,325923.23154432,1885978.3210376
490.37,320688.93035425,325678.25378093,1882770.2680797
490.36,320459.38467628,325437.45166275,1879564.5511645
490.35,320232.25391718,325198.99067082,1876361.0360789
490.34,320006.80870925,324962.16042676,1873159.8403145
490.33,319782.64968491,324726.57383235,1869960.8721248
490.32,319559.53947888,324492.00281366,1866764.1746505
490.31,319337.45160135,324258.4289936,1863569.6882728
490.3,319116.11146964,324025.58344054,1860377.4493782
490.29,318895.49862696,323793.45032179,1857187.4190753
490.28,318675.51763241,323561.94201055,1853999.5281458
490.27,318456.17851874,323331.07232822,1850813.8687485
490.26,318237.20207665,323100.56623828,1847630.4164268
490.25,318018.65045343,322870.48857501,1844449.1287563
490.24,317800.07471132,322640.40455185,1841270.1013651
490.23,317580.14673743,322409.00736272,1838093.2536219
490.22,317355.79962898,322173.25823839,1834918.6568183
490.21,317117.27117674,321923.44617924,1831746.3314547
490.2,315321.84388186,320116.97554147,1828576.6091322
490.19,314985.2909564,319769.64608256,1825425.3189814
490.18,314754.8033488,319528.30285475,1822276.6650492
