msl_height_m,z_factor,area_m2,volume_m3
490.5,1,325588.17431892,1924831.9028941
490.49,1,325329.53681148,1921577.3328207
490.48,1,325070.96122755,1918325.2594952
490.47,1,324812.56339069,1915075.8372717
490.46,1,324554.23746429,1911828.9223907
490.45,1,324296.19840635,1908584.6045796
490.44,1,324038.37448733,1905342.9537075
490.43,1,323780.31346259,1902103.8861224
490.42,1,323520.96327169,1898867.3732508
490.41,1,323254.7703268,1895633.4937093
490.4,1,322850.90351689,1892402.5259835
490.39,1,321169.48549544,1889188.8624722
490.38,1,320922.74637299,1885978.3210373
490.37,1,320688.93035423,1882770.2680796
490.36,1,320459.38467626,1879564.5511619
490.35,1,320232.25391716,1876361.0360788
490.34,1,320006.80870923,1873159.8403142
490.33,1,319782.64968488,1869960.8721248
490.32,1,319559.53947886,1866764.1746504
490.31,1,319337.45160133,1863569.6882728
490.3,1,319116.11146962,1860377.4493782
490.29,1,318895.49862694,1857187.4190746
490.28,1,318675.51763238,1853999.5281457
490.27,1,318456.17851872,1850813.8687482
490.26,1,318237.20207662,1847630.4164267
490.25,1,318018.6504534,1844449.1267047
490.24,1,317800.0747113,1841270.1013651
490.23,1,317580.14673741,1838093.2536219
490.22,1,317355.79962895,1834918.6568182
490.21,1,317117.27117671,1831746.3314545
490.2,1,315321.84388147,1828576.609132
490.19,1,314985.29095638,1825425.3189813
490.18,1,314754.80334878,1822276.6650484
490.17,1,314531.71502733,1819130.2569062
490.16,1,314312.10060566,1815986.1206991
490.15,1,314095.25944715,1812844.0720364
490.14,1,313880.61339122,1809704.1751996
490.13,1,313668.01564878,1806566.4209613
490.12,1,313457.41778584,1803430.7613921
490.11,1,313248.70322901,1800297.2455334
490.1,1,313041.85312043,1797165.7765731
490.09,1,312836.80828555,1794036.4193345
490.08,1,312633.50058752,1790909.120043
490.07,1,312431.91614936,1787783.8828942
490.06,1,312232.01997991,1784660.6460546
490.05,1,312033.48620614,1781539.4187106
490.04,1,311835.9486428,1778420.1250922
490.03,1,311638.60947078,1775302.8732425
490.02,1,311439.00234003,1772187.5765013
490.01,1,311228.82997705,1769074.3531835
490,1,310873.1032863,1765963.4900542
489.99,1,309723.08514616,1762865.1589163
489.98,1,309549.18200853,1759768.7362509
489.97,1,309379.56946447,1756674.0791536
489.96,1,309211.1697816,1753581.1481606
489.95,1,309043.52449501,1750489.8990714
489.94,1,308876.43339088,1747400.294549
489.93,1,308709.80517185,1744312.3770924
489.92,1,308543.73717881,1741226.0555606
489.91,1,308378.16819031,1738141.5165157
489.9,1,308212.99207225,1735058.5729155
489.89,1,308048.30701076,1731977.261997
489.88,1,307884.01495713,1728897.6614809
489.87,1,307720.13189097,1725819.6938243
489.86,1,307556.42993468,1722743.3880805
489.85,1,307392.93448219,1719668.7023854
489.84,1,307229.23397305,1716595.6600502
489.83,1,307064.80832526,1713524.2337389
489.82,1,306897.98371016,1710454.4363393
489.81,1,306724.20454713,1707386.3914463
489.8,1,306471.52273581,1704320.2680112
489.79,1,305320.35851222,1701265.9872819
489.78,1,305156.85341689,1698213.642694
489.77,1,304996.58932228,1695162.8519716
489.76,1,304837.65297778,1692113.6615758
489.75,1,304679.54193437,1689066.0691295
489.74,1,304522.16932415,1686020.0677445
489.73,1,304365.68827534,1682975.6527669
489.72,1,304209.99183712,1679932.8392697
489.71,1,304055.10530309,1676891.4600323
489.7,1,303901.08838573,1673851.7406958
489.69,1,303747.8078052,1670813.4823932
489.68,1,303595.38937186,1667776.8298904
489.67,1,303443.85399182,1664741.6725648
489.66,1,303293.11472787,1661708.0167959
489.65,1,303142.78687538,1658675.7961467
489.64,1,302992.5428894,1655645.1614623
489.63,1,302841.51787646,1652616.0060849
489.62,1,302687.782283,1649588.4715397
489.61,1,302526.71820379,1646562.4785364
489.6,1,301739.89109272,1643538.2164867
489.59,1,301550.28196717,1640521.8742391
489.58,1,301394.81108971,1637507.2197397
489.57,1,301239.44832112,1634494.0165123
489.56,1,301084.16214667,1631482.3951735
489.55,1,300929.40521413,1628472.3057532
