msl_height,z_factor,surface_area_m2,storage_m3
467.7,1.0,0.0,0.0
467.8,1.0,20.379461978191,0.00024831634997099
467.9,1.0,50.504449842797,3.5440375483893
468.0,1.0,98.373175262567,10.64676366061
468.1,1.0,2488.2652849341,212.21227043305
468.2,1.0,3596.491680053,514.02235640143
468.3,1.0,5540.3055114059,1028.2345530692
468.4,1.0,6381.9512969352,1618.3078881843
468.5,1.0,7095.4508652464,2292.6272189425
468.6,1.0,7855.8916001096,3039.0595162879
468.7,1.0,9055.8847630735,3906.4125843691
468.8,1.0,10831.121955811,4851.6954914026
468.9,1.0,11649.724152989,5977.5225364477
469.0,1.0,12437.900257104,7181.0384095111
469.1,1.0,13423.721455621,8477.3204976165
469.2,1.0,14490.354829817,9870.9904301942
469.3,1.0,15677.703723221,11385.645812181
469.4,1.0,17019.471147391,13007.482634542
469.5,1.0,18445.279212996,14780.812856139
469.6,1.0,19967.386478961,16699.34358365
469.7,1.0,23599.222923104,18982.817846212
469.8,1.0,26064.729474753,21420.426217376
469.9,1.0,26959.203765075,24073.324719371
470.0,1.0,27790.226919347,26810.413789786
470.1,1.0,28646.89591138,29646.794879363
470.2,1.0,29232.557230802,32540.300767886
470.3,1.0,30011.893950289,35509.881033275
470.4,1.0,31007.094665397,38542.034851494
470.5,1.0,31477.841710863,41667.205493297
470.6,1.0,31922.798659349,44836.922980647
470.7,1.0,32386.848713682,48055.444862642
470.8,1.0,32815.849191665,51314.014303795
470.9,1.0,33201.336504977,54615.141566137
471.0,1.0,33594.527073477,57954.525930691
471.1,1.0,34056.569670432,61340.047232461
471.2,1.0,34475.703301332,64766.295182379
471.3,1.0,34970.645230586,68240.629213006
471.4,1.0,35916.356932936,71761.491554353
471.5,1.0,36499.548357952,75382.894912058
471.6,1.0,37094.551343506,79061.855544779
471.7,1.0,38085.55820178,82836.682688549
471.8,1.0,39018.504068159,86678.783787451
471.9,1.0,39594.359444144,90609.910151233
472.0,1.0,40210.338763833,94598.768182224
472.1,1.0,41893.667644792,98742.957686197
472.2,1.0,42757.53610453,102975.0534195
472.3,1.0,44224.364706865,107362.6047389
472.4,1.0,45318.420244953,111818.94015645
472.5,1.0,45872.405755021,116379.43935967
472.6,1.0,46423.032674571,120993.45054379
472.7,1.0,47393.627235783,125707.45848982
472.8,1.0,48149.21326786,130473.02336804
472.9,1.0,48777.923445023,135320.03037679
473.0,1.0,49452.787349127,140229.90941198
473.1,1.0,50496.0036946,145249.83479458
473.2,1.0,51120.756411578,150328.97685401
473.3,1.0,52288.009311993,155527.08182527
473.4,1.0,53179.924658653,160787.25966085
473.5,1.0,53951.507323651,166145.17876001
473.6,1.0,54696.804766817,171576.8227371
473.7,1.0,55418.293519618,177090.13861478
473.8,1.0,56400.635942697,182660.91302006
473.9,1.0,57117.859604984,188337.87245917
474.0,1.0,57836.619684826,194084.6823198
474.1,1.0,58530.945725897,199910.51994379
474.2,1.0,59107.495403526,205791.24079935
474.3,1.0,59921.456800666,211753.57837186
474.4,1.0,60833.030829619,217775.7329705
474.5,1.0,61474.490529845,223892.19160419
474.6,1.0,62119.437125924,230070.57976502
474.7,1.0,63277.38908443,236358.47826312
474.8,1.0,64528.006236323,242727.76686079
474.9,1.0,65357.550772215,249223.87324123
475.0,1.0,66161.605553944,255798.65077592
475.1,1.0,67311.191281627,262493.44559686
475.2,1.0,68088.927726275,269261.93287825
475.3,1.0,69074.191369737,276133.2254753
475.4,1.0,69975.293334719,283076.65508313
475.5,1.0,70675.36125343,290110.19961096
475.6,1.0,71394.745614954,297212.37389886
475.7,1.0,72378.012460915,304411.09086636
475.8,1.0,73307.5792454,311688.38462875
475.9,1.0,74070.550018645,319058.1280761
476.0,1.0,74830.468365738,326502.50205979
476.1,1.0,75641.201340397,334032.34838552
476.2,1.0,76355.739842554,341631.25224754
476.3,1.0,77093.567934569,349309.26326113
476.4,1.0,77827.172897318,357049.99554027
476.5,1.0,78382.003813154,364861.23870871
476.6,1.0,78909.402420964,372725.63471616
476.7,1.0,79345.653963425,380640.56875051
476.8,1.0,79730.267187818,388593.79346744
476.9,1.0,80058.746545718,396583.33853726
477.0,1.0,80374.973882416,404604.90265168
477.1,1.0,80673.848701586,412657.72003191
477.2,1.0,80955.199291172,420739.13077895
477.3,1.0,81234.75709677,428848.6985564
477.4,1.0,81516.728521778,436985.90856984
477.5,1.0,81803.740702923,445151.90573733
477.6,1.0,82098.737693379,453346.79133957
477.7,1.0,82450.838749651,461574.21058296
477.8,1.0,83105.641251162,469838.25642031
477.9,1.0,84418.510040833,478213.88052472
478.0,1.0,86943.713965212,486727.37541941
478.1,1.0,87792.341249534,495467.76447434
478.2,1.0,88649.249228928,504287.4766497
478.3,1.0,90434.405405171,513285.47198196
478.4,1.0,91762.833528342,522374.84879587
478.5,1.0,92612.120008401,531595.6817419
478.6,1.0,93466.285414671,540897.91812989
478.7,1.0,95052.277680153,550358.37652283
478.8,1.0,96604.040107928,559909.24242466
478.9,1.0,97572.272257782,569620.67973333
479.0,1.0,99341.571206686,579425.02304664
479.1,1.0,100504.28778857,589420.36306592
479.2,1.0,101750.07531982,599527.93445902
479.3,1.0,104901.95461022,609947.9743581
479.4,1.0,107425.21747482,620508.68180608
479.5,1.0,108695.11971672,631318.90643227
479.6,1.0,109938.35802569,642247.80164803
479.7,1.0,111902.77809132,653380.83588933
479.8,1.0,114248.72179061,664629.41379527
479.9,1.0,115630.64867727,676127.07911344
480.0,1.0,118855.77746783,687759.17385298
480.1,1.0,120501.28214036,699731.02539016
