Model,H,Target,inner_cv_rmse,iterations,learning_rate,depth,l2_leaf_reg,min_data_in_leaf,subsample,rsm,random_strength,n_estimators,max_depth,reg_lambda,min_child_weight,colsample_bytree,min_child_samples
CatBoost,1,y1=Q_in_t+1 (m3/day),77132.25047244804,500.0,0.01405673135341279,4.0,14.722020701537827,9.0,0.8933412280781268,0.7155945454650147,2.447189511928628,,,,,,
CatBoost,2,y2=Q_in_t+2 (m3/day),110314.36277610557,500.0,0.017119463576864728,3.0,9.207765121335516,17.0,0.6659480845493271,0.9273923240954308,0.7634118175964575,,,,,,
CatBoost,3,y3=Q_in_t+3 (m3/day),132234.61347875014,400.0,0.012886829636263314,2.0,10.09791617058054,7.0,0.6701146367303005,0.6064647837182466,2.9982404822630557,,,,,,
CatBoost,4,y4=Q_in_t+4 (m3/day),138248.57420226888,300.0,0.011481463166862736,2.0,1.7424075371603045,25.0,0.5249766409120282,0.6272791717358873,2.9056565848541624,,,,,,
CatBoost,5,y5=Q_in_t+5 (m3/day),150991.2559289731,300.0,0.015187639308815793,2.0,41.690096369782644,25.0,0.5076973747006901,0.5505730570346411,2.468117380970169,,,,,,
CatBoost,6,y6=Q_in_t+6 (m3/day),203127.98795662943,400.0,0.017001754132211097,2.0,7.551909976018509,18.0,0.5628094190643376,0.9143687545759647,1.0702599800807677,,,,,,
CatBoost,7,y7=Q_in_t+7 (m3/day),195225.8474100648,400.0,0.012362753937456792,2.0,221.54261065588273,9.0,0.7582268050236641,0.7317699359307983,0.9531605039882252,,,,,,
XGBoost,1,y1=Q_in_t+1 (m3/day),75568.0758126174,,0.010219692383813256,,,,0.9384739435122714,,,1400.0,6.0,449.98612709396764,7.0,0.5902860965708464,
XGBoost,2,y2=Q_in_t+2 (m3/day),108844.63845170505,,0.014857475208171345,,,,0.7996476113125253,,,500.0,5.0,171.19341658962117,3.0,0.6881053992597793,
XGBoost,3,y3=Q_in_t+3 (m3/day),124542.47264533324,,0.05056425941700156,,,,0.5374928280264751,,,900.0,6.0,489.3848816850361,1.0,0.8814550637184645,
XGBoost,4,y4=Q_in_t+4 (m3/day),147563.31604671493,,0.01441064200552874,,,,0.8758879721041675,,,1400.0,5.0,294.71208074901506,1.0,0.6400563045218715,
XGBoost,5,y5=Q_in_t+5 (m3/day),160656.89931638387,,0.014280127612678013,,,,0.9300584001724785,,,1400.0,5.0,323.97329546220965,1.0,0.5887570362361239,
XGBoost,6,y6=Q_in_t+6 (m3/day),173498.79642541497,,0.014232505756442084,,,,0.6485432660745076,,,1300.0,3.0,203.66663203602354,21.0,0.5856041454932671,
XGBoost,7,y7=Q_in_t+7 (m3/day),173704.47695565713,,0.010214849406786172,,,,0.9533655856665167,,,400.0,6.0,323.5626416411442,3.0,0.6440968165349106,
LightGBM,1,y1=Q_in_t+1 (m3/day),75566.08614999382,,0.019634070492316056,,,,0.459300788743758,,,300.0,5.0,64.3518726410293,,0.6016102693206586,40.0
LightGBM,2,y2=Q_in_t+2 (m3/day),110265.79132058957,,0.03451155512507313,,,,0.48072720664885377,,,400.0,5.0,460.7281032162263,,0.717702045342417,6.0
LightGBM,3,y3=Q_in_t+3 (m3/day),141115.14742246372,,0.010004279276384911,,,,0.5302449774308352,,,400.0,2.0,6.294347580992711,,0.9358603984915628,17.0
LightGBM,4,y4=Q_in_t+4 (m3/day),148877.1822626234,,0.04810546080570506,,,,0.5873715284716957,,,500.0,5.0,475.39031082513475,,0.5451840263309596,7.0
LightGBM,5,y5=Q_in_t+5 (m3/day),163350.4094815108,,0.035524240977790264,,,,0.7996476113125253,,,400.0,4.0,499.6695417512846,,0.7356850911640654,22.0
LightGBM,6,y6=Q_in_t+6 (m3/day),170610.1284597551,,0.04891216948339091,,,,0.5000854683834252,,,500.0,5.0,475.39031082513475,,0.592444991630859,7.0
LightGBM,7,y7=Q_in_t+7 (m3/day),180551.044419974,,0.03019713513728477,,,,0.40015726738282803,,,600.0,6.0,275.65424044777785,,0.5110021684815566,35.0
