Model,fold,H,Baseline_NSE,Model_NSE
CatBoost,1,1,0.529974477525673,0.5351591976618035
CatBoost,1,2,-0.040218666514803436,0.07048347619233364
CatBoost,1,3,-0.352626113716507,-0.10084534311290128
CatBoost,1,4,-0.634894474049758,-0.187036171312021
CatBoost,1,5,-0.8279866459944623,-0.2755214874666232
CatBoost,1,6,-0.8875045751948312,-0.15812961691787453
CatBoost,1,7,-0.8427535289195058,-0.2195743008066009
CatBoost,2,1,0.7870973420981168,0.7968417335058424
CatBoost,2,2,0.3939509144435237,0.6353661752174274
CatBoost,2,3,-0.01794775256227732,0.40008274599883265
CatBoost,2,4,-0.37705847201101594,-0.07360188168640147
CatBoost,2,5,-0.6831793711284773,-0.637914138241578
CatBoost,2,6,-0.9311072734088308,-1.1422050313228755
CatBoost,2,7,-1.1328309881352934,-1.977248042405543
CatBoost,3,1,0.7823506802772849,0.7538949903784762
CatBoost,3,2,0.3820342238583415,0.3749531771495348
CatBoost,3,3,0.08470722757670857,0.11216191527458585
CatBoost,3,4,-0.09844505336500653,-0.024312394490944023
CatBoost,3,5,-0.22479423447628766,-0.17643926427519907
CatBoost,3,6,-0.3089481684117237,-0.33748091821488213
CatBoost,3,7,-0.3494910623074192,-0.23234764835484323
CatBoost,4,1,-0.3726764220880805,-0.2782698038842517
CatBoost,4,2,-0.21929170238083118,0.11166056433130955
CatBoost,4,3,-0.9005610739616767,-0.6812158674787416
CatBoost,4,4,-1.181696170672383,-0.9875897979433987
CatBoost,4,5,-0.9408186210306264,-0.7097712584045814
CatBoost,4,6,-1.0885533894296886,-2.2702644261055815
CatBoost,4,7,-1.1655422804275646,-1.3579015753056334
CatBoost,5,1,0.912412019877258,0.8365102073307791
CatBoost,5,2,0.7365956309145034,0.5850953978126174
CatBoost,5,3,0.5218266212993447,0.36193401698828287
CatBoost,5,4,0.3063722511016257,0.2210346020374263
CatBoost,5,5,0.13018497304198606,0.06069913295098417
CatBoost,5,6,-0.010168546325556305,0.07625339650652163
CatBoost,5,7,-0.10879343078527381,-0.014599776945878773
XGBoost,1,1,0.529974477525673,0.5172025174374948
XGBoost,1,2,-0.040218666514803436,0.01952911581418315
XGBoost,1,3,-0.352626113716507,-0.1342530390565988
XGBoost,1,4,-0.634894474049758,-0.4189290175476694
XGBoost,1,5,-0.8279866459944623,-0.43524159885019076
XGBoost,1,6,-0.8875045751948312,-0.8874567958128796
XGBoost,1,7,-0.8427535289195058,-0.6661621476685753
XGBoost,2,1,0.7870973420981168,0.5356749426556195
XGBoost,2,2,0.3939509144435237,-0.44957850041814673
XGBoost,2,3,-0.01794775256227732,-2.2967895094435935
XGBoost,2,4,-0.37705847201101594,-4.652667751581134
XGBoost,2,5,-0.6831793711284773,-6.10409002663966
XGBoost,2,6,-0.9311072734088308,-9.777296473276516
XGBoost,2,7,-1.1328309881352934,-2.5719243836554457
XGBoost,3,1,0.7823506802772849,0.7997036292872771
XGBoost,3,2,0.3820342238583415,0.5010111414147319
XGBoost,3,3,0.08470722757670857,0.33142562618693283
XGBoost,3,4,-0.09844505336500653,0.04330191625642621
XGBoost,3,5,-0.22479423447628766,0.07760498778320057
XGBoost,3,6,-0.3089481684117237,-0.17610840711728803
XGBoost,3,7,-0.3494910623074192,-0.2648767553669973
XGBoost,4,1,-0.3726764220880805,-0.6068691874665457
XGBoost,4,2,-0.21929170238083118,-0.8968917251808421
XGBoost,4,3,-0.9005610739616767,-1.3813217210650253
XGBoost,4,4,-1.181696170672383,-4.384083793065654
XGBoost,4,5,-0.9408186210306264,-6.9096735389354125
XGBoost,4,6,-1.0885533894296886,-34.54777419467149
XGBoost,4,7,-1.1655422804275646,-7.281566800966331
XGBoost,5,1,0.912412019877258,0.8883711684804338
XGBoost,5,2,0.7365956309145034,0.7172691847033545
XGBoost,5,3,0.5218266212993447,0.6354320601454528
XGBoost,5,4,0.3063722511016257,0.4280601415825116
XGBoost,5,5,0.13018497304198606,0.44270864419595324
XGBoost,5,6,-0.010168546325556305,0.16354404280600554
XGBoost,5,7,-0.10879343078527381,0.13659558696205332
LightGBM,1,1,0.529974477525673,0.5299743806799057
LightGBM,1,2,-0.040218666514803436,-0.08079443580447787
LightGBM,1,3,-0.352626113716507,-0.5502226008088487
LightGBM,1,4,-0.634894474049758,-0.4592606857348074
LightGBM,1,5,-0.8279866459944623,-0.8279908619038563
LightGBM,1,6,-0.8875045751948312,-0.40794198667423864
LightGBM,1,7,-0.8427535289195058,-0.8430020873478097
LightGBM,2,1,0.7870973420981168,0.06835225156095981
LightGBM,2,2,0.3939509144435237,-1.1190855064132443
LightGBM,2,3,-0.01794775256227732,-6.017874251899043
LightGBM,2,4,-0.37705847201101594,-6.391580615204754
LightGBM,2,5,-0.6831793711284773,-3.1705152670852907
LightGBM,2,6,-0.9311072734088308,-6.297561665088678
LightGBM,2,7,-1.1328309881352934,-9.341491428033471
LightGBM,3,1,0.7823506802772849,0.7413041912425744
LightGBM,3,2,0.3820342238583415,0.49986850557037854
LightGBM,3,3,0.08470722757670857,-0.008280702786260363
LightGBM,3,4,-0.09844505336500653,0.04493021799547192
LightGBM,3,5,-0.22479423447628766,0.07081042747500033
LightGBM,3,6,-0.3089481684117237,-0.02758275927813325
LightGBM,3,7,-0.3494910623074192,-0.47110430831997796
LightGBM,4,1,-0.3726764220880805,-3.891758248905612
LightGBM,4,2,-0.21929170238083118,-0.5686745833366473
LightGBM,4,3,-0.9005610739616767,-10.240457328437085
LightGBM,4,4,-1.181696170672383,-5.45456480689531
LightGBM,4,5,-0.9408186210306264,-9.518583960589083
LightGBM,4,6,-1.0885533894296886,-10.79453359018082
LightGBM,4,7,-1.1655422804275646,-51.339744967044574
LightGBM,5,1,0.912412019877258,0.840207689327949
LightGBM,5,2,0.7365956309145034,0.7282703410451543
LightGBM,5,3,0.5218266212993447,0.457434367528887
LightGBM,5,4,0.3063722511016257,0.35835406796146285
LightGBM,5,5,0.13018497304198606,0.35796692931387153
LightGBM,5,6,-0.010168546325556305,0.33376108638117885
LightGBM,5,7,-0.10879343078527381,-0.0018961976748679277
