Model,H,in_train_cv_nse
CatBoost,1,0.7555265810241002
CatBoost,2,0.5498882511321513
CatBoost,3,0.25292488857058754
CatBoost,4,0.1236931009710398
CatBoost,5,-0.24686154221382092
CatBoost,6,-2.1793773247069423
CatBoost,7,-2.322285118814393
XGBoost,1,0.7693471263925199
XGBoost,2,0.5213995418180005
XGBoost,3,0.2661732725244849
XGBoost,4,0.12409699866811548
XGBoost,5,0.0600324093801952
XGBoost,6,-0.340174842298073
XGBoost,7,-0.39600174561971535
LightGBM,1,0.7646075318949079
LightGBM,2,0.17244791594945397
LightGBM,3,0.10626374633807789
LightGBM,4,-0.4220837622211957
LightGBM,5,-0.68492760308391
LightGBM,6,-0.7699166517837978
LightGBM,7,-2.205898012187502
