Model,H,inner_cv_rmse,iterations,learning_rate,depth,l2_leaf_reg,min_data_in_leaf,subsample,rsm,random_strength,n_estimators,max_depth,reg_lambda,min_child_weight,colsample_bytree,min_child_samples
CatBoost,1,93819.95204102011,1200.0,0.01383815245974768,4.0,15.254455623278096,25.0,0.8906317459359484,0.740145277904206,2.460228555232167,,,,,,
CatBoost,2,129065.97512033918,1400.0,0.010163732690779375,4.0,1.1180946347960765,25.0,0.6658478780804213,0.97988537297271,2.000574825247735,,,,,,
CatBoost,3,162236.6618577485,1300.0,0.013753886367672491,4.0,13.540265654860251,24.0,0.857162973353365,0.8625737410956085,2.447189511928628,,,,,,
CatBoost,4,179486.0628280988,400.0,0.012362753937456792,2.0,221.54261065588273,9.0,0.7582268050236641,0.7317699359307983,0.9531605039882252,,,,,,
CatBoost,5,204387.46653539236,400.0,0.017001754132211097,2.0,7.551909976018509,18.0,0.5628094190643376,0.9143687545759647,1.0702599800807677,,,,,,
CatBoost,6,241379.00339144058,300.0,0.013740363587519953,4.0,12.507634784927477,18.0,0.535209730940089,0.6806839271188285,0.7580229614815015,,,,,,
CatBoost,7,249117.07934720058,500.0,0.017423780012324742,2.0,26.23466318449345,5.0,0.6832735451056289,0.7454034048486149,1.1040244052567179,,,,,,
XGBoost,1,88720.18115240677,,0.013325454606990432,,,,0.4511546476633205,,,900.0,6.0,415.59429571419474,36.0,0.6506163619972233,
XGBoost,2,130292.07787382584,,0.010010066300036962,,,,0.986713275978575,,,1300.0,6.0,302.1127361565929,6.0,0.6078559138424241,
XGBoost,3,165656.56849436086,,0.014378241134771819,,,,0.5929647922851558,,,500.0,3.0,29.773503986297236,35.0,0.8121489961781619,
XGBoost,4,176262.85909725694,,0.01007822447077704,,,,0.8649982176909925,,,300.0,3.0,88.49689767308752,11.0,0.7887160368976154,
XGBoost,5,183402.343415889,,0.010074976003882557,,,,0.8520464842516723,,,1100.0,6.0,466.0480546093881,24.0,0.582092761217681,
XGBoost,6,188574.01793085274,,0.010362253449574603,,,,0.8119929388240945,,,1200.0,4.0,469.7491943895487,11.0,0.8587430155706449,
XGBoost,7,196031.79976387296,,0.014884073859071105,,,,0.649079561041509,,,1200.0,6.0,495.9719944790026,10.0,0.6261836483971991,
LightGBM,1,89071.03849928896,,0.010021655228415307,,,,0.7144275623550633,,,400.0,6.0,233.63134792793798,,0.9441293658054769,36.0
LightGBM,2,135346.75793172143,,0.07441145116306516,,,,0.4014612334293415,,,800.0,4.0,2.2752120596509204,,0.56391216214132,40.0
LightGBM,3,166106.80206472074,,0.028739224451085503,,,,0.4026604886008893,,,700.0,4.0,1.0484428227616651,,0.8514224878134762,32.0
LightGBM,4,187940.5126930141,,0.01056123834712368,,,,0.4021283150485708,,,600.0,4.0,8.67465479923988,,0.836932074470251,25.0
LightGBM,5,198825.13992485884,,0.016432378919707624,,,,0.5747374841188252,,,500.0,3.0,26.079656598095827,,0.8059264473611898,20.0
LightGBM,6,189112.04148468503,,0.05655267536952669,,,,0.4809838412081574,,,400.0,4.0,497.5389854357515,,0.6456110902150018,11.0
LightGBM,7,213234.93052268575,,0.06610060928573419,,,,0.401862895383238,,,1000.0,4.0,215.4536449902015,,0.836932074470251,26.0
