Model,Target,feature,mean_abs_shap
CatBoost,y1=Q_in_t+1 (m3/day),Q_in_t (m3/day),2526.8824084383727
CatBoost,y1=Q_in_t+1 (m3/day),Water_Level_t (m),4174.878811246744
CatBoost,y1=Q_in_t+1 (m3/day),Storage_S_t (m3),2934.586861322989
CatBoost,y1=Q_in_t+1 (m3/day),DeltaS_t (m3/day),2705.8895039387685
CatBoost,y1=Q_in_t+1 (m3/day),%Full_t,3063.924865284906
CatBoost,y1=Q_in_t+1 (m3/day),Rain_obs_t (mm),1827.1898541303535
CatBoost,y1=Q_in_t+1 (m3/day),API_t (mm),2401.98329732494
CatBoost,y2=Q_in_t+2 (m3/day),Q_in_t (m3/day),6198.068823634615
CatBoost,y2=Q_in_t+2 (m3/day),Water_Level_t (m),5366.046258917127
CatBoost,y2=Q_in_t+2 (m3/day),Storage_S_t (m3),4085.31965049861
CatBoost,y2=Q_in_t+2 (m3/day),DeltaS_t (m3/day),2964.6880906962056
CatBoost,y2=Q_in_t+2 (m3/day),%Full_t,6642.304860966511
CatBoost,y2=Q_in_t+2 (m3/day),Rain_obs_t (mm),1711.2810100846038
CatBoost,y2=Q_in_t+2 (m3/day),API_t (mm),2808.8207713363404
CatBoost,y3=Q_in_t+3 (m3/day),Q_in_t (m3/day),10114.615438605922
CatBoost,y3=Q_in_t+3 (m3/day),Water_Level_t (m),9850.683085813533
CatBoost,y3=Q_in_t+3 (m3/day),Storage_S_t (m3),6249.392454197932
CatBoost,y3=Q_in_t+3 (m3/day),DeltaS_t (m3/day),2366.446461466573
CatBoost,y3=Q_in_t+3 (m3/day),%Full_t,6552.372663839237
CatBoost,y3=Q_in_t+3 (m3/day),Rain_obs_t (mm),4265.422377634531
CatBoost,y3=Q_in_t+3 (m3/day),API_t (mm),3366.7471573417956
CatBoost,y4=Q_in_t+4 (m3/day),Q_in_t (m3/day),7658.270615658968
CatBoost,y4=Q_in_t+4 (m3/day),Water_Level_t (m),7299.737544555652
CatBoost,y4=Q_in_t+4 (m3/day),Storage_S_t (m3),7252.925981760044
CatBoost,y4=Q_in_t+4 (m3/day),DeltaS_t (m3/day),1689.5301181964458
CatBoost,y4=Q_in_t+4 (m3/day),%Full_t,6700.460908725627
CatBoost,y4=Q_in_t+4 (m3/day),Rain_obs_t (mm),3491.042265352941
CatBoost,y4=Q_in_t+4 (m3/day),API_t (mm),1409.980957268411
CatBoost,y5=Q_in_t+5 (m3/day),Q_in_t (m3/day),8384.424224694927
CatBoost,y5=Q_in_t+5 (m3/day),Water_Level_t (m),5213.357778644222
CatBoost,y5=Q_in_t+5 (m3/day),Storage_S_t (m3),4606.850696298758
CatBoost,y5=Q_in_t+5 (m3/day),DeltaS_t (m3/day),295.7177997661755
CatBoost,y5=Q_in_t+5 (m3/day),%Full_t,5940.655333619111
CatBoost,y5=Q_in_t+5 (m3/day),Rain_obs_t (mm),1188.583644651467
CatBoost,y5=Q_in_t+5 (m3/day),API_t (mm),1134.3674295823344
CatBoost,y6=Q_in_t+6 (m3/day),Q_in_t (m3/day),17046.42550761229
CatBoost,y6=Q_in_t+6 (m3/day),Water_Level_t (m),7922.233201398547
CatBoost,y6=Q_in_t+6 (m3/day),Storage_S_t (m3),5069.945751568385
CatBoost,y6=Q_in_t+6 (m3/day),DeltaS_t (m3/day),479.4242993272273
CatBoost,y6=Q_in_t+6 (m3/day),%Full_t,5650.679495857315
CatBoost,y6=Q_in_t+6 (m3/day),Rain_obs_t (mm),1681.7692281666025
CatBoost,y6=Q_in_t+6 (m3/day),API_t (mm),2026.6445938329082
CatBoost,y7=Q_in_t+7 (m3/day),Q_in_t (m3/day),13297.544309267225
CatBoost,y7=Q_in_t+7 (m3/day),Water_Level_t (m),6651.151281501456
CatBoost,y7=Q_in_t+7 (m3/day),Storage_S_t (m3),8227.891691736746
CatBoost,y7=Q_in_t+7 (m3/day),DeltaS_t (m3/day),686.7015074695989
CatBoost,y7=Q_in_t+7 (m3/day),%Full_t,7562.2723359538095
CatBoost,y7=Q_in_t+7 (m3/day),Rain_obs_t (mm),1940.0648495648995
CatBoost,y7=Q_in_t+7 (m3/day),API_t (mm),3702.8321205811526
XGBoost,y1=Q_in_t+1 (m3/day),Q_in_t (m3/day),68.48310089111328
XGBoost,y1=Q_in_t+1 (m3/day),Water_Level_t (m),95.29208374023438
XGBoost,y1=Q_in_t+1 (m3/day),Storage_S_t (m3),47.121360778808594
XGBoost,y1=Q_in_t+1 (m3/day),DeltaS_t (m3/day),7.254297733306885
XGBoost,y1=Q_in_t+1 (m3/day),%Full_t,4.89564847946167
XGBoost,y1=Q_in_t+1 (m3/day),Rain_obs_t (mm),3.314065933227539
XGBoost,y1=Q_in_t+1 (m3/day),API_t (mm),125.19284057617188
XGBoost,y2=Q_in_t+2 (m3/day),Q_in_t (m3/day),97.63290405273438
XGBoost,y2=Q_in_t+2 (m3/day),Water_Level_t (m),43.796234130859375
XGBoost,y2=Q_in_t+2 (m3/day),Storage_S_t (m3),0.0
XGBoost,y2=Q_in_t+2 (m3/day),DeltaS_t (m3/day),15.957642555236816
XGBoost,y2=Q_in_t+2 (m3/day),%Full_t,0.0
XGBoost,y2=Q_in_t+2 (m3/day),Rain_obs_t (mm),0.0
XGBoost,y2=Q_in_t+2 (m3/day),API_t (mm),0.0
XGBoost,y3=Q_in_t+3 (m3/day),Q_in_t (m3/day),60.083473205566406
XGBoost,y3=Q_in_t+3 (m3/day),Water_Level_t (m),233.3856658935547
XGBoost,y3=Q_in_t+3 (m3/day),Storage_S_t (m3),0.0
XGBoost,y3=Q_in_t+3 (m3/day),DeltaS_t (m3/day),38.16786575317383
XGBoost,y3=Q_in_t+3 (m3/day),%Full_t,0.0
XGBoost,y3=Q_in_t+3 (m3/day),Rain_obs_t (mm),1.4668753147125244
XGBoost,y3=Q_in_t+3 (m3/day),API_t (mm),294.26104736328125
XGBoost,y4=Q_in_t+4 (m3/day),Q_in_t (m3/day),178.81332397460938
XGBoost,y4=Q_in_t+4 (m3/day),Water_Level_t (m),41.385459899902344
XGBoost,y4=Q_in_t+4 (m3/day),Storage_S_t (m3),0.0
XGBoost,y4=Q_in_t+4 (m3/day),DeltaS_t (m3/day),1.2026524543762207
XGBoost,y4=Q_in_t+4 (m3/day),%Full_t,0.0
XGBoost,y4=Q_in_t+4 (m3/day),Rain_obs_t (mm),0.0
XGBoost,y4=Q_in_t+4 (m3/day),API_t (mm),0.0
XGBoost,y5=Q_in_t+5 (m3/day),Q_in_t (m3/day),222.3616485595703
XGBoost,y5=Q_in_t+5 (m3/day),Water_Level_t (m),43.56203842163086
XGBoost,y5=Q_in_t+5 (m3/day),Storage_S_t (m3),0.0
XGBoost,y5=Q_in_t+5 (m3/day),DeltaS_t (m3/day),1.155886173248291
XGBoost,y5=Q_in_t+5 (m3/day),%Full_t,0.0
XGBoost,y5=Q_in_t+5 (m3/day),Rain_obs_t (mm),0.0
XGBoost,y5=Q_in_t+5 (m3/day),API_t (mm),0.0
XGBoost,y6=Q_in_t+6 (m3/day),Q_in_t (m3/day),186.88412475585938
XGBoost,y6=Q_in_t+6 (m3/day),Water_Level_t (m),0.0
XGBoost,y6=Q_in_t+6 (m3/day),Storage_S_t (m3),0.0
XGBoost,y6=Q_in_t+6 (m3/day),DeltaS_t (m3/day),81.30449676513672
XGBoost,y6=Q_in_t+6 (m3/day),%Full_t,0.0
XGBoost,y6=Q_in_t+6 (m3/day),Rain_obs_t (mm),0.0
XGBoost,y6=Q_in_t+6 (m3/day),API_t (mm),0.0
XGBoost,y7=Q_in_t+7 (m3/day),Q_in_t (m3/day),152.32412719726562
XGBoost,y7=Q_in_t+7 (m3/day),Water_Level_t (m),23.391265869140625
XGBoost,y7=Q_in_t+7 (m3/day),Storage_S_t (m3),0.0
XGBoost,y7=Q_in_t+7 (m3/day),DeltaS_t (m3/day),0.0
XGBoost,y7=Q_in_t+7 (m3/day),%Full_t,0.0
XGBoost,y7=Q_in_t+7 (m3/day),Rain_obs_t (mm),0.0
XGBoost,y7=Q_in_t+7 (m3/day),API_t (mm),0.0
LightGBM,y1=Q_in_t+1 (m3/day),Q_in_t (m3/day),0.0
LightGBM,y1=Q_in_t+1 (m3/day),Water_Level_t (m),182.51356789591344
LightGBM,y1=Q_in_t+1 (m3/day),Storage_S_t (m3),0.0
LightGBM,y1=Q_in_t+1 (m3/day),DeltaS_t (m3/day),0.0
LightGBM,y1=Q_in_t+1 (m3/day),%Full_t,0.0
LightGBM,y1=Q_in_t+1 (m3/day),Rain_obs_t (mm),0.0
LightGBM,y1=Q_in_t+1 (m3/day),API_t (mm),204.5617877932107
LightGBM,y2=Q_in_t+2 (m3/day),Q_in_t (m3/day),0.0
LightGBM,y2=Q_in_t+2 (m3/day),Water_Level_t (m),100.88291790069631
LightGBM,y2=Q_in_t+2 (m3/day),Storage_S_t (m3),0.0
LightGBM,y2=Q_in_t+2 (m3/day),DeltaS_t (m3/day),19.55286405699508
LightGBM,y2=Q_in_t+2 (m3/day),%Full_t,0.0
LightGBM,y2=Q_in_t+2 (m3/day),Rain_obs_t (mm),0.0
LightGBM,y2=Q_in_t+2 (m3/day),API_t (mm),143.37849506536605
LightGBM,y3=Q_in_t+3 (m3/day),Q_in_t (m3/day),0.0
LightGBM,y3=Q_in_t+3 (m3/day),Water_Level_t (m),248.30595047777211
LightGBM,y3=Q_in_t+3 (m3/day),Storage_S_t (m3),0.0
LightGBM,y3=Q_in_t+3 (m3/day),DeltaS_t (m3/day),0.0
LightGBM,y3=Q_in_t+3 (m3/day),%Full_t,0.0
LightGBM,y3=Q_in_t+3 (m3/day),Rain_obs_t (mm),276.49521861307187
LightGBM,y3=Q_in_t+3 (m3/day),API_t (mm),0.0
LightGBM,y4=Q_in_t+4 (m3/day),Q_in_t (m3/day),0.0
LightGBM,y4=Q_in_t+4 (m3/day),Water_Level_t (m),319.6579211767715
LightGBM,y4=Q_in_t+4 (m3/day),Storage_S_t (m3),0.0
LightGBM,y4=Q_in_t+4 (m3/day),DeltaS_t (m3/day),0.0
LightGBM,y4=Q_in_t+4 (m3/day),%Full_t,0.0
LightGBM,y4=Q_in_t+4 (m3/day),Rain_obs_t (mm),0.0
LightGBM,y4=Q_in_t+4 (m3/day),API_t (mm),389.5546960186271
LightGBM,y5=Q_in_t+5 (m3/day),Q_in_t (m3/day),0.0
LightGBM,y5=Q_in_t+5 (m3/day),Water_Level_t (m),112.76632781615356
LightGBM,y5=Q_in_t+5 (m3/day),Storage_S_t (m3),184.7603484269144
LightGBM,y5=Q_in_t+5 (m3/day),DeltaS_t (m3/day),0.0
LightGBM,y5=Q_in_t+5 (m3/day),%Full_t,0.0
LightGBM,y5=Q_in_t+5 (m3/day),Rain_obs_t (mm),0.0
LightGBM,y5=Q_in_t+5 (m3/day),API_t (mm),318.7936921638156
LightGBM,y6=Q_in_t+6 (m3/day),Q_in_t (m3/day),0.0
LightGBM,y6=Q_in_t+6 (m3/day),Water_Level_t (m),0.0
LightGBM,y6=Q_in_t+6 (m3/day),Storage_S_t (m3),0.0
LightGBM,y6=Q_in_t+6 (m3/day),DeltaS_t (m3/day),0.0
LightGBM,y6=Q_in_t+6 (m3/day),%Full_t,292.65477972366773
LightGBM,y6=Q_in_t+6 (m3/day),Rain_obs_t (mm),0.0
LightGBM,y6=Q_in_t+6 (m3/day),API_t (mm),552.4481740953578
LightGBM,y7=Q_in_t+7 (m3/day),Q_in_t (m3/day),0.0
LightGBM,y7=Q_in_t+7 (m3/day),Water_Level_t (m),232.523613830463
LightGBM,y7=Q_in_t+7 (m3/day),Storage_S_t (m3),0.0
LightGBM,y7=Q_in_t+7 (m3/day),DeltaS_t (m3/day),0.0
LightGBM,y7=Q_in_t+7 (m3/day),%Full_t,0.0
LightGBM,y7=Q_in_t+7 (m3/day),Rain_obs_t (mm),0.0
LightGBM,y7=Q_in_t+7 (m3/day),API_t (mm),492.6343419460685
