Model,H,Target,inner_cv_rmse,iterations,learning_rate,depth,l2_leaf_reg,min_data_in_leaf,subsample,rsm,random_strength,n_estimators,max_depth,reg_lambda,min_child_weight,colsample_bytree,min_child_samples
CatBoost,1,y1=Q_in_t+1 (m3/day),77248.68428679412,500.0,0.01362036716909945,5.0,17.43769110301298,25.0,0.8961203865795025,0.9453508368364819,0.8092729934670069,,,,,,
CatBoost,2,y2=Q_in_t+2 (m3/day),110190.14552296259,500.0,0.030848334026228386,3.0,9.11828305737107,24.0,0.7743724889626669,0.6217572772393859,2.5818227057785226,,,,,,
CatBoost,3,y3=Q_in_t+3 (m3/day),129632.66656513806,300.0,0.010610758233386742,2.0,31.363485819511684,24.0,0.4801377128560522,0.553625857108189,2.397584398211201,,,,,,
CatBoost,4,y4=Q_in_t+4 (m3/day),138430.14425103873,300.0,0.012592944847826665,2.0,1.6713853013372675,24.0,0.5189056822164547,0.6245257399641552,2.9614300300687937,,,,,,
CatBoost,5,y5=Q_in_t+5 (m3/day),154516.60417067792,400.0,0.010150378362483755,2.0,4.308631452846117,12.0,0.5076973747006901,0.5462232364904317,0.7183207681155062,,,,,,
CatBoost,6,y6=Q_in_t+6 (m3/day),203047.95739690264,400.0,0.017001754132211097,2.0,7.551909976018509,18.0,0.5628094190643376,0.9143687545759647,1.0702599800807677,,,,,,
CatBoost,7,y7=Q_in_t+7 (m3/day),201808.78154251628,600.0,0.012222691893272512,2.0,180.41737882954396,17.0,0.4975493086568633,0.6904006139995306,2.1924150022415034,,,,,,
XGBoost,1,y1=Q_in_t+1 (m3/day),75577.40598932822,,0.010219692383813256,,,,0.9384739435122714,,,1400.0,6.0,449.98612709396764,7.0,0.5902860965708464,
XGBoost,2,y2=Q_in_t+2 (m3/day),108846.21167129836,,0.014857475208171345,,,,0.7996476113125253,,,500.0,5.0,171.19341658962117,3.0,0.6881053992597793,
XGBoost,3,y3=Q_in_t+3 (m3/day),124528.27501527673,,0.05056425941700156,,,,0.5374928280264751,,,900.0,6.0,489.3848816850361,1.0,0.8814550637184645,
XGBoost,4,y4=Q_in_t+4 (m3/day),147567.8856710567,,0.01441064200552874,,,,0.8758879721041675,,,1400.0,5.0,294.71208074901506,1.0,0.6400563045218715,
XGBoost,5,y5=Q_in_t+5 (m3/day),160652.5405547787,,0.014280127612678013,,,,0.9300584001724785,,,1400.0,5.0,323.97329546220965,1.0,0.5887570362361239,
XGBoost,6,y6=Q_in_t+6 (m3/day),173474.25717145044,,0.014232505756442084,,,,0.6485432660745076,,,1300.0,3.0,203.66663203602354,21.0,0.5856041454932671,
XGBoost,7,y7=Q_in_t+7 (m3/day),173799.14526744717,,0.010214849406786172,,,,0.9533655856665167,,,400.0,6.0,323.5626416411442,3.0,0.6440968165349106,
LightGBM,1,y1=Q_in_t+1 (m3/day),78725.14893881511,,0.01986160999869449,,,,0.44822661068639896,,,600.0,4.0,2.200847677709267,,0.992655057876031,40.0
LightGBM,2,y2=Q_in_t+2 (m3/day),110268.85912826797,,0.03451155512507313,,,,0.48072720664885377,,,400.0,5.0,460.7281032162263,,0.717702045342417,6.0
LightGBM,3,y3=Q_in_t+3 (m3/day),141070.7456416061,,0.010004279276384911,,,,0.5302449774308352,,,400.0,2.0,6.294347580992711,,0.9358603984915628,17.0
LightGBM,4,y4=Q_in_t+4 (m3/day),148884.55584688793,,0.04810546080570506,,,,0.5873715284716957,,,500.0,5.0,475.39031082513475,,0.5451840263309596,7.0
LightGBM,5,y5=Q_in_t+5 (m3/day),163288.81270490866,,0.035524240977790264,,,,0.7996476113125253,,,400.0,4.0,499.6695417512846,,0.7356850911640654,22.0
LightGBM,6,y6=Q_in_t+6 (m3/day),170638.6815616051,,0.04891216948339091,,,,0.5000854683834252,,,500.0,5.0,475.39031082513475,,0.592444991630859,7.0
LightGBM,7,y7=Q_in_t+7 (m3/day),180550.50461649266,,0.03019713513728477,,,,0.40015726738282803,,,600.0,6.0,275.65424044777785,,0.5110021684815566,35.0
