Model,H,inner_cv_rmse,iterations,learning_rate,depth,l2_leaf_reg,min_data_in_leaf,subsample,rsm,random_strength,n_estimators,max_depth,reg_lambda,min_child_weight,colsample_bytree,min_child_samples
CatBoost,1,95317.08284357528,1200.0,0.025907263929791383,4.0,3.188828048082944,5.0,0.7854172336836972,0.7601674762845108,1.706866450500121,,,,,,
CatBoost,2,128193.96039090758,1300.0,0.013512257732823505,4.0,2.630888819267389,37.0,0.7388382415186782,0.7431939829748718,2.9699002649039175,,,,,,
CatBoost,3,157761.7228220386,500.0,0.021049746665785064,6.0,29.400094611786365,31.0,0.8654806379609354,0.8435383949976412,1.626124259929405,,,,,,
CatBoost,4,180801.38632892736,300.0,0.01209070876211741,3.0,47.51646935473661,23.0,0.6458917854107691,0.5876203995391832,2.909128683246685,,,,,,
CatBoost,5,226081.3701994765,400.0,0.017001754132211097,2.0,7.551909976018509,18.0,0.5628094190643376,0.9143687545759647,1.0702599800807677,,,,,,
CatBoost,6,245931.94275698366,400.0,0.017001754132211097,2.0,7.551909976018509,18.0,0.5628094190643376,0.9143687545759647,1.0702599800807677,,,,,,
CatBoost,7,241333.7669929465,300.0,0.013707513516313802,5.0,12.507634784927477,35.0,0.5420198815305189,0.9505746513728619,2.004251629478529,,,,,,
XGBoost,1,88700.46560615658,,0.013325454606990432,,,,0.4511546476633205,,,900.0,6.0,415.59429571419474,36.0,0.6506163619972233,
XGBoost,2,136702.56636683797,,0.07441145116306516,,,,0.4014612334293415,,,800.0,4.0,2.2752120596509204,40.0,0.56391216214132,
XGBoost,3,165810.81642139985,,0.014378241134771819,,,,0.5929647922851558,,,500.0,3.0,29.773503986297236,35.0,0.8121489961781619,
XGBoost,4,188738.00395183163,,0.014378241134771819,,,,0.5929647922851558,,,500.0,3.0,29.773503986297236,35.0,0.8121489961781619,
XGBoost,5,183064.17244795305,,0.010074976003882557,,,,0.8520464842516723,,,1100.0,6.0,466.0480546093881,24.0,0.582092761217681,
XGBoost,6,208385.0667570501,,0.010071262695509241,,,,0.5688485557473757,,,1100.0,6.0,106.39445967372234,24.0,0.6791951423952709,
XGBoost,7,208172.38003629737,,0.06915042518298024,,,,0.5631791214947033,,,900.0,6.0,495.76707088075773,22.0,0.6716742390588631,
LightGBM,1,88887.3719135472,,0.07441145116306516,,,,0.4014612334293415,,,800.0,4.0,2.2752120596509204,,0.56391216214132,40.0
LightGBM,2,136047.5264246367,,0.07441145116306516,,,,0.4014612334293415,,,800.0,4.0,2.2752120596509204,,0.56391216214132,40.0
LightGBM,3,161208.88185049943,,0.07441145116306516,,,,0.4014612334293415,,,800.0,4.0,2.2752120596509204,,0.56391216214132,40.0
LightGBM,4,177672.39291742243,,0.01445314166410934,,,,0.46081323317181794,,,800.0,4.0,412.9190643237349,,0.5958901942589735,16.0
LightGBM,5,198425.35467495772,,0.016432378919707624,,,,0.5747374841188252,,,500.0,3.0,26.079656598095827,,0.8059264473611898,20.0
LightGBM,6,206938.91477590418,,0.02697873657292354,,,,0.5026874767452028,,,600.0,3.0,491.00870404528877,,0.8346302213271336,27.0
LightGBM,7,198136.40011150716,,0.014884073859071105,,,,0.649079561041509,,,1200.0,6.0,495.9719944790026,,0.6261836483971991,12.0
