iter	MAE
0	188135.6826
1	187392.7437
2	186644.8207
3	185560.5028
4	185333.0749
5	184354.285
6	183484.0163
7	183087.0308
8	182151.4379
9	181774.7003
10	181094.078
11	180279.7984
12	179545.9783
13	178756.7836
14	178102.3357
15	177436.8437
16	176818.7759
17	176126.9326
18	175484.5373
19	174876.1162
20	174178.4682
21	173375.7446
22	172607.8998
23	171942.1001
24	171261.0858
25	170654.9079
26	170251.1613
27	169484.6637
28	168794.2361
29	167949.4149
30	167288.9947
31	166731.3107
32	166129.8421
33	165415.5935
34	164825.2016
35	164181.8767
36	163681.403
37	163649.3838
38	163151.7791
39	162669.5849
40	162201.2987
41	161898.5394
42	161351.4819
43	160710.1413
44	160346.0117
45	159862.2174
46	159635.7885
47	159080.692
48	158502.3151
49	157958.2297
50	157530.2523
51	157099.1156
52	156672.9655
53	156047.1195
54	155650.4595
55	155066.3257
56	154953.0998
57	154451.3029
58	153903.1673
59	153423.992
60	152948.519
61	152677.0092
62	152334.5285
63	151882.1054
64	151432.4605
65	151001.1107
66	150510.8802
67	150188.4261
68	149684.493
69	149269.0927
70	148854.6113
71	148660.7033
72	148409.2736
73	148112.9602
74	147808.8644
75	147469.0396
76	147173.6055
77	146874.2573
78	146635.3813
79	146349.2122
80	146036.7897
81	145642.3694
82	145450.58
83	145092.932
84	144831.0493
85	144616.2271
86	144301.307
87	144099.0521
88	143921.0297
89	143545.9016
90	143283.7542
91	142878.4031
92	142774.2912
93	142462.1354
94	142416.1279
95	142222.3155
96	141987.9549
97	141594.0232
98	141328.5671
99	141192.3633
100	140933.7093
101	140642.151
102	140459.9267
103	140186.5455
104	139835.8941
105	139524.1186
106	139222.3113
107	138948.5469
108	138772.3741
109	138573.8554
110	138324.8695
111	138070.6427
112	137838.311
113	137580.4794
114	137247.0489
115	137092.1734
116	136818.4774
117	136658.7999
118	136347.4333
119	136207.1129
120	136022.9008
121	135840.5367
122	135512.5731
123	135245.6751
124	135081.841
125	135009.8746
126	134783.4577
127	134559.1896
128	134387.7132
129	134215.7339
130	134055.3292
131	133921.4049
132	133744.2886
133	133569.5491
134	133460.9512
135	133296.246
136	133107.2127
137	132810.9165
138	132519.7332
139	132316.8686
140	132071.1837
141	131784.4766
142	131672.7851
143	131371.108
144	131084.3063
145	130940.475
146	130846.3302
147	130696.0565
148	130573.9876
149	130323.0668
150	130067.3496
151	129886.7016
152	129752.2319
153	129600.5645
154	129403.2178
155	129325.1586
156	129108.1729
157	128891.4698
158	128423.5939
159	128267.9704
160	128174.5984
161	127998.2916
162	127924.8244
163	127754.0886
164	127530.1628
165	127497.4423
166	127391.7868
167	127284.9628
168	127182.7875
169	127095.4056
170	126990.6466
171	126878.7602
172	126780.3228
173	126646.014
174	126523.2193
175	126414.3335
176	126400.4254
177	126342.4364
178	126202.3458
179	126079.7987
180	125945.7418
181	125728.5804
182	125607.4429
183	125513.4912
184	125158.3329
185	125033.6545
186	124884.9438
187	124723.324
188	124569.0853
189	124481.7349
190	124372.3981
191	124299.7456
192	124193.9889
193	124117.3149
194	124008.6966
195	123929.7169
196	123745.883
197	123593.5906
198	123502.1173
199	123386.8066
200	123221.5829
201	123046.8408
202	122934.4596
203	122852.15
204	122711.6717
205	122549.2432
206	122512.6111
207	122376.6949
208	122260.472
209	122126.4705
210	122012.0735
211	121929.0263
212	121867.6933
213	121790.2923
214	121747.2123
215	121658.3298
216	121591.4595
217	121377.4019
218	121292.4864
219	121204.7473
220	121062.1153
221	120952.0751
222	120819.8482
223	120759.6104
224	120695.5391
225	120592.9071
226	120565.9654
227	120538.7841
228	120499.8788
229	120455.1558
230	120447.9584
231	120425.4619
232	120329.62
233	120121.7588
234	120080.5117
235	119792.5986
236	119754.3838
237	119694.8194
238	119677.6409
239	119647.9521
240	119580.6432
241	119451.8371
242	119415.1544
243	119318.6223
244	119217.5656
245	119041.9506
246	118939.2197
247	118901.008
248	118882.2393
249	118865.7484
250	118742.2485
251	118666.9785
252	118572.0575
253	118441.0605
254	118323.6029
255	118237.4822
256	118229.6656
257	118146.7484
258	118038.7153
259	117955.8745
260	117887.6925
261	117862.9605
262	117821.4119
263	117794.6798
264	117654.5726
265	117637.7696
266	117594.859
267	117546.0623
268	117545.5707
269	117508.5892
270	117420.7855
271	117367.8375
272	117305.9906
273	117216.6515
274	117107.8042
275	116978.6919
276	116916.187
277	116908.5466
278	116837.2472
279	116680.2257
280	116674.609
281	116618.9378
282	116555.0925
283	116471.4761
284	116330.0249
285	116274.595
286	116161.8616
287	116115.0512
288	116104.5601
289	116066.9846
290	116006.305
291	115935.8665
292	115836.02
293	115826.7714
294	115770.1291
295	115649.6753
296	115566.0666
297	115560.0988
298	115483.5848
299	115479.0604
