iter	Passed	Remaining
0	0	282
1	1	277
2	2	280
3	3	272
4	4	259
5	5	276
6	6	275
7	7	268
8	8	265
9	9	266
10	10	263
11	10	254
12	11	258
13	12	255
14	13	253
15	13	248
16	14	244
17	15	241
18	16	238
19	16	237
20	17	236
21	18	238
22	19	234
23	20	235
24	20	230
25	21	228
26	22	227
27	23	224
28	24	225
29	24	224
30	25	224
31	26	224
32	27	224
33	28	223
34	29	221
35	29	219
36	30	218
37	31	214
38	31	212
39	32	211
40	33	211
41	33	208
42	34	207
43	35	206
44	36	205
45	37	204
46	37	203
47	38	201
48	39	201
49	39	199
50	40	198
51	41	199
52	42	197
53	43	196
54	43	195
55	44	195
56	45	193
57	46	192
58	47	192
59	47	190
60	48	189
61	49	189
62	50	188
63	51	188
64	51	187
65	52	187
66	53	186
67	54	186
68	55	184
69	56	184
70	56	183
71	57	183
72	58	182
73	59	181
74	60	180
75	60	179
76	61	178
77	62	177
78	63	176
79	64	176
80	65	175
81	65	174
82	66	174
83	67	173
84	68	173
85	69	172
86	70	171
87	71	171
88	71	170
89	72	168
90	73	167
91	74	167
92	74	166
93	75	166
94	76	165
95	77	164
96	78	163
97	78	162
98	79	161
99	80	160
100	81	159
101	81	158
102	82	158
103	83	157
104	84	156
105	84	155
106	85	154
107	86	153
108	87	152
109	87	151
110	88	151
111	89	150
112	90	149
113	91	148
114	91	147
115	92	147
116	93	146
117	94	145
118	95	144
119	95	143
120	96	142
121	97	142
122	98	141
123	98	140
124	99	139
125	100	138
126	101	137
127	101	137
128	103	136
129	103	135
130	104	134
131	105	134
132	106	133
133	107	132
134	108	132
135	108	131
136	109	130
137	110	129
138	111	128
139	111	127
140	112	127
141	113	126
142	114	125
143	115	125
144	116	124
145	117	123
146	117	122
147	118	121
148	119	121
149	120	120
150	120	119
151	121	118
152	122	117
153	123	116
154	124	116
155	124	115
156	125	114
157	126	113
158	127	113
159	128	112
160	128	111
161	129	110
162	130	109
163	131	109
164	132	108
165	133	107
166	133	106
167	134	105
168	135	104
169	135	103
170	136	102
171	137	101
172	137	101
173	138	100
174	139	99
175	139	98
176	140	97
177	141	96
178	142	96
179	142	95
180	143	94
181	144	93
182	145	92
183	145	91
184	146	91
185	147	90
186	147	89
187	148	88
188	149	87
189	150	87
190	151	86
191	151	85
192	152	84
193	153	83
194	154	83
195	154	82
196	155	81
197	156	80
198	157	79
199	158	79
200	159	78
201	159	77
202	160	76
203	161	76
204	162	75
205	163	74
206	164	73
207	165	73
208	166	72
209	166	71
210	167	70
211	168	69
212	168	68
213	169	68
214	170	67
215	171	66
216	172	65
217	173	65
218	173	64
219	174	63
220	175	62
221	176	62
222	177	61
223	177	60
224	178	59
225	179	58
226	180	57
227	180	57
228	181	56
229	182	55
230	183	54
231	184	53
232	185	53
233	185	52
234	186	51
235	186	50
236	187	49
237	188	49
238	189	48
239	190	47
240	191	46
241	191	45
242	192	45
243	193	44
244	194	43
245	195	42
246	195	42
247	196	41
248	197	40
249	198	39
250	199	38
251	200	38
252	200	37
253	201	36
254	202	35
255	203	34
256	204	34
257	204	33
258	205	32
259	206	31
260	207	30
261	207	30
262	208	29
263	209	28
264	210	27
265	210	26
266	211	26
267	212	25
268	212	24
269	213	23
270	214	22
271	215	22
272	216	21
273	216	20
274	217	19
275	218	18
276	219	18
277	219	17
278	220	16
279	221	15
280	222	15
281	223	14
282	223	13
283	224	12
284	225	11
285	226	11
286	226	10
287	227	9
288	228	8
289	229	7
290	229	7
291	230	6
292	231	5
293	232	4
294	233	3
295	233	3
296	234	2
297	235	1
298	236	0
299	237	0
