Model,fold,H,Baseline_NSE,Model_NSE
CatBoost,1,1,0.529974477525673,0.5286720830464919
CatBoost,1,2,-0.040218666514803436,0.06674480591605747
CatBoost,1,3,-0.352626113716507,-0.2061402195562032
CatBoost,1,4,-0.634894474049758,-0.225684932038146
CatBoost,1,5,-0.8279866459944623,-0.20696864487317912
CatBoost,1,6,-0.8875045751948312,-0.15812961691787453
CatBoost,1,7,-0.8427535289195058,-0.12889126405422013
CatBoost,2,1,0.7870973420981168,0.6737698590295051
CatBoost,2,2,0.3939509144435237,0.6520896598558963
CatBoost,2,3,-0.01794775256227732,0.4667730470467537
CatBoost,2,4,-0.37705847201101594,0.041806508605577886
CatBoost,2,5,-0.6831793711284773,-0.5982543939117131
CatBoost,2,6,-0.9311072734088308,-1.1422050313228755
CatBoost,2,7,-1.1328309881352934,-1.6628533827240006
CatBoost,3,1,0.7822837794375179,0.7412371186939972
CatBoost,3,2,0.38184828501410606,0.3283235392769909
CatBoost,3,3,0.08441917456455028,0.12674333902568902
CatBoost,3,4,-0.09881138085535235,-0.055050418397824874
CatBoost,3,5,-0.22584220921794862,-0.10554861838846907
CatBoost,3,6,-0.30980392468886686,-0.33835934729850425
CatBoost,3,7,-0.350350334738178,-0.3070206247518805
CatBoost,4,1,-0.39755718587252975,-0.2315362976971207
CatBoost,4,2,-0.2312963234112726,0.09157391182479657
CatBoost,4,3,-0.924205568789561,-0.6235905194000595
CatBoost,4,4,-1.2039639267399713,-0.9403448983175546
CatBoost,4,5,-0.9631209603815876,-1.3302717413717922
CatBoost,4,6,-1.115814149712277,-1.8869751042442227
CatBoost,4,7,-1.181322402011387,-1.3773062286422628
CatBoost,5,1,0.912412019877258,0.8060356414142364
CatBoost,5,2,0.7365956309145034,0.6139373744373144
CatBoost,5,3,0.5218266212993447,0.3830606227177765
CatBoost,5,4,0.3063722511016257,0.20506320913665588
CatBoost,5,5,0.13018497304198606,0.1887501585007183
CatBoost,5,6,-0.010168546325556305,0.06997099574662546
CatBoost,5,7,-0.10879343078527381,-0.09547977403071894
XGBoost,1,1,0.529974477525673,0.5172025174374948
XGBoost,1,2,-0.040218666514803436,0.01952911581418315
XGBoost,1,3,-0.352626113716507,-0.1342530390565988
XGBoost,1,4,-0.634894474049758,-0.4189290175476694
XGBoost,1,5,-0.8279866459944623,-0.43524159885019076
XGBoost,1,6,-0.8875045751948312,-0.8874567958128796
XGBoost,1,7,-0.8427535289195058,-0.6661621476685753
XGBoost,2,1,0.7870973420981168,0.5356749426556195
XGBoost,2,2,0.3939509144435237,-0.44957850041814673
XGBoost,2,3,-0.01794775256227732,-2.2967895094435935
XGBoost,2,4,-0.37705847201101594,-4.652667751581134
XGBoost,2,5,-0.6831793711284773,-6.10409002663966
XGBoost,2,6,-0.9311072734088308,-9.777296473276516
XGBoost,2,7,-1.1328309881352934,-2.5719243836554457
XGBoost,3,1,0.7822837794375179,0.7996321296553097
XGBoost,3,2,0.38184828501410606,0.5008459309785888
XGBoost,3,3,0.08441917456455028,0.3312199192748435
XGBoost,3,4,-0.09881138085535235,0.04298480750825606
XGBoost,3,5,-0.22584220921794862,0.0768332915415455
XGBoost,3,6,-0.30980392468886686,-0.17664219109185764
XGBoost,3,7,-0.350350334738178,-0.26593636378696583
XGBoost,4,1,-0.39755718587252975,-0.6361011661133043
XGBoost,4,2,-0.2312963234112726,-0.9134595802721637
XGBoost,4,3,-0.924205568789561,-1.334055381374951
XGBoost,4,4,-1.2039639267399713,-4.48678493221862
XGBoost,4,5,-0.9631209603815876,-6.9647723738069995
XGBoost,4,6,-1.115814149712277,-34.88197035068132
XGBoost,4,7,-1.181322402011387,-7.35894109788029
XGBoost,5,1,0.912412019877258,0.8883627679577535
XGBoost,5,2,0.7365956309145034,0.7173921615575582
XGBoost,5,3,0.5218266212993447,0.6357966991815703
XGBoost,5,4,0.3063722511016257,0.4277666013090492
XGBoost,5,5,0.13018497304198606,0.4425133252098771
XGBoost,5,6,-0.010168546325556305,0.16435644243546044
XGBoost,5,7,-0.10879343078527381,0.13558393185195072
LightGBM,1,1,0.529974477525673,0.5299743806799057
LightGBM,1,2,-0.040218666514803436,-0.08079443580447787
LightGBM,1,3,-0.352626113716507,-0.5502226008088487
LightGBM,1,4,-0.634894474049758,-0.4592606857348074
LightGBM,1,5,-0.8279866459944623,-0.8279908619038563
LightGBM,1,6,-0.8875045751948312,-0.40794198667423864
LightGBM,1,7,-0.8427535289195058,-0.8430020873478097
LightGBM,2,1,0.7870973420981168,-1.0268605531026247
LightGBM,2,2,0.3939509144435237,-1.1190855064132443
LightGBM,2,3,-0.01794775256227732,-6.017874251899043
LightGBM,2,4,-0.37705847201101594,-6.391580615204754
LightGBM,2,5,-0.6831793711284773,-3.1705152670852907
LightGBM,2,6,-0.9311072734088308,-6.297561665088678
LightGBM,2,7,-1.1328309881352934,-9.341491428033471
LightGBM,3,1,0.7822837794375179,0.7030116622532201
LightGBM,3,2,0.38184828501410606,0.49971625226131344
LightGBM,3,3,0.08441917456455028,-0.008600655317658079
LightGBM,3,4,-0.09881138085535235,0.044613641483639666
LightGBM,3,5,-0.22584220921794862,0.0701157401402962
LightGBM,3,6,-0.30980392468886686,-0.028024896220004925
LightGBM,3,7,-0.350350334738178,-0.4720061610886279
LightGBM,4,1,-0.39755718587252975,-3.763986429145822
LightGBM,4,2,-0.2312963234112726,-0.5937784621583035
LightGBM,4,3,-0.924205568789561,-10.167069953643136
LightGBM,4,4,-1.2039639267399713,-5.36092720617199
LightGBM,4,5,-0.9631209603815876,-9.62139425000217
LightGBM,4,6,-1.115814149712277,-11.82429177459818
