Model,H,in_train_cv_nse
CatBoost,1,0.7501030733017787
CatBoost,2,0.5561580415930726
CatBoost,3,0.30727956456175326
CatBoost,4,0.09586509000882641
CatBoost,5,-0.6769360220238566
CatBoost,6,-1.1202734137464094
CatBoost,7,-4.5240151757401135
XGBoost,1,0.7694492435825943
XGBoost,2,0.4837395259774793
XGBoost,3,0.2656220195582751
XGBoost,4,0.04774921703697558
XGBoost,5,0.06463003454397535
XGBoost,6,-0.17881650640934854
XGBoost,7,-1.405587166246061
LightGBM,1,0.6342066348025291
LightGBM,2,0.20091601028726847
LightGBM,3,-0.052314480338875834
LightGBM,4,0.12457858828194553
LightGBM,5,-0.8115236372383047
LightGBM,6,-0.15733486464711657
LightGBM,7,-1.9451445797608455
