crop,week,stage,Kc
rice,1,offseason,0.0
rice,2,offseason,0.0
rice,3,offseason,0.0
rice,4,offseason,0.0
rice,5,offseason,0.0
rice,6,offseason,0.0
rice,7,offseason,0.0
rice,8,offseason,0.0
rice,9,offseason,0.0
rice,10,offseason,0.0
rice,11,offseason,0.0
rice,12,offseason,0.0
rice,13,offseason,0.0
rice,14,offseason,0.0
rice,15,offseason,0.0
rice,16,offseason,0.0
rice,17,offseason,0.0
rice,18,offseason,0.0
rice,19,offseason,0.0
rice,20,offseason,0.0
rice,21,offseason,0.0
rice,22,offseason,0.0
rice,23,offseason,0.0
rice,24,GS0,0.0
rice,25,GS0,0.0
rice,26,GS0,0.0
rice,27,GS1,1.208
rice,28,GS1,1.208
rice,29,GS1,1.208
rice,30,GS1,1.208
rice,31,GS2,1.26
rice,32,GS2,1.26
rice,33,GS2,1.26
rice,34,GS2,1.26
rice,35,GS2,1.26
rice,36,GS2,1.26
rice,37,GS2,1.26
rice,38,GS2,1.26
rice,39,GS3,1.103
rice,40,GS3,1.103
rice,41,GS3,1.103
rice,42,GS3,1.103
rice,43,GS3,1.103
rice,44,GS3,1.103
rice,45,GS3,1.103
rice,46,GS4,0.0
rice,47,GS4,0.0
rice,48,GS4,0.0
rice,49,GS4,0.0
rice,50,offseason,0.0
rice,51,offseason,0.0
rice,52,offseason,0.0
corn,1,offseason,0.0
corn,2,offseason,0.0
corn,3,offseason,0.0
corn,4,offseason,0.0
corn,5,offseason,0.0
corn,6,offseason,0.0
corn,7,offseason,0.0
corn,8,offseason,0.0
corn,9,offseason,0.0
corn,10,offseason,0.0
corn,11,offseason,0.0
corn,12,offseason,0.0
corn,13,offseason,0.0
corn,14,offseason,0.0
corn,15,offseason,0.0
corn,16,offseason,0.0
corn,17,offseason,0.0
corn,18,offseason,0.0
corn,19,offseason,0.0
corn,20,offseason,0.0
corn,21,offseason,0.0
corn,22,GS0,0.0
corn,23,GS0,0.0
corn,24,GS0,0.0
corn,25,GS0,0.0
corn,26,GS1,0.315
corn,27,GS1,0.315
corn,28,GS1,0.315
corn,29,GS2,1.26
corn,30,GS2,1.26
corn,31,GS2,1.26
corn,32,GS2,1.26
corn,33,GS2,1.26
corn,34,GS2,1.26
corn,35,GS3,0.367
corn,36,GS3,0.367
corn,37,GS3,0.367
corn,38,GS3,0.367
corn,39,GS3,0.367
corn,40,GS4,0.0
corn,41,GS4,0.0
corn,42,GS4,0.0
corn,43,offseason,0.0
corn,44,offseason,0.0
corn,45,offseason,0.0
corn,46,offseason,0.0
corn,47,offseason,0.0
corn,48,offseason,0.0
corn,49,offseason,0.0
corn,50,offseason,0.0
corn,51,offseason,0.0
corn,52,offseason,0.0
cassava,1,GS4,1.05
cassava,2,GS4,1.05
cassava,3,GS4,1.05
cassava,4,GS4,1.05
cassava,5,GS4,1.05
cassava,6,GS4,1.05
cassava,7,GS4,1.05
cassava,8,offseason,0.0
cassava,9,offseason,0.0
cassava,10,offseason,0.0
cassava,11,offseason,0.0
cassava,12,offseason,0.0
cassava,13,offseason,0.0
cassava,14,offseason,0.0
cassava,15,GS0,0.0
cassava,16,GS0,0.0
cassava,17,GS0,0.0
cassava,18,GS1,0.315
cassava,19,GS1,0.315
cassava,20,GS1,0.315
cassava,21,GS1,0.315
cassava,22,GS1,0.315
cassava,23,GS1,0.315
cassava,24,GS2,0.84
cassava,25,GS2,0.84
cassava,26,GS2,0.84
cassava,27,GS2,0.84
cassava,28,GS2,0.84
cassava,29,GS2,0.84
cassava,30,GS2,0.84
cassava,31,GS2,0.84
cassava,32,GS2,0.84
cassava,33,GS2,0.84
cassava,34,GS2,0.84
cassava,35,GS2,0.84
cassava,36,GS2,0.84
cassava,37,GS3,1.155
