year,week,month,date,ET0_mm_week,T_mean,RH_pct,VPD_kPa,u2_ms,Rn_MJ,P_mm_week,P_eff_mm,SPI_4,drought_flag,AI_week,MEI,WoY_sin,WoY_cos,MoY_sin,MoY_cos,NIR_A_m3,season_enc,NIR_A_m3_lag1,NIR_A_m3_lag2,NIR_A_m3_lag3,NIR_A_m3_lag4,NIR_A_m3_lag8,NIR_A_m3_lag12,NIR_A_m3_roll4_mean,NIR_A_m3_roll4_std,NIR_A_m3_roll8_mean,NIR_A_m3_roll8_std,ET0_mm_week_lag1,ET0_mm_week_lag2,ET0_mm_week_lag4,P_mm_week_lag1,P_mm_week_lag2,P_mm_week_lag4,VPD_kPa_lag1,VPD_kPa_lag2,MEI_lag4,MEI_lag8,y_h1,y_h2,y_h3,y_h4,y_h5,y_h6,y_h7,y_h8,y_h9,y_h10,y_h11,y_h12,zone,target_col,GIR_B_m3,GIR_B_m3_lag1,GIR_B_m3_lag2,GIR_B_m3_lag3,GIR_B_m3_lag4,GIR_B_m3_lag8,GIR_B_m3_lag12,GIR_B_m3_roll4_mean,GIR_B_m3_roll4_std,GIR_B_m3_roll8_mean,GIR_B_m3_roll8_std
2020,2,1,2020-01-06,20.15,25.2,55.4,1.4313,0.736,7.5299,0.0,0.0,0.0,0,10.0,0.24,0.23931566428755774,0.970941817426052,0.49999999999999994,0.8660254037844387,92719.0,0,,,,,,,,,,,,,,,,,,,,,98286.7,113241.4,112597.2,126263.5,142506.6,116769.5,101255.1,117871.0,116860.5,132282.8,144015.6,154358.1,zone_A,NIR_A_m3,,,,,,,,,,,
2020,2,1,2020-01-06,20.15,25.2,55.4,1.4313,0.736,7.5299,0.0,0.0,0.0,0,10.0,0.24,0.23931566428755774,0.970941817426052,0.49999999999999994,0.8660254037844387,,0,,,,,,,,,,,,,,,,,,,,,48548.2,55934.9,55616.7,62367.1,70390.3,48712.9,49934.0,53199.8,48820.0,65235.3,71021.4,76121.8,zone_B,GIR_B_m3,45798.0,,,,,,,,,,
2020,3,1,2020-01-13,21.36,24.9,54.9,1.4223,0.913,7.6131,0.0,0.0,0.0,0,10.0,0.24,0.3546048870425356,0.9350162426854148,0.49999999999999994,0.8660254037844387,98286.7,0,92719.0,,,,,,,,,,20.15,,,0.0,,,1.4313,,,,113241.4,112597.2,126263.5,142506.6,116769.5,101255.1,117871.0,116860.5,132282.8,144015.6,154358.1,138352.6,zone_A,NIR_A_m3,,,,,,,,,,,
2020,3,1,2020-01-13,21.36,24.9,54.9,1.4223,0.913,7.6131,0.0,0.0,0.0,0,10.0,0.24,0.3546048870425356,0.9350162426854148,0.49999999999999994,0.8660254037844387,,0,,,,,,,,,,,20.15,,,0.0,,,1.4313,,,,55934.9,55616.7,62367.1,70390.3,48712.9,49934.0,53199.8,48820.0,65235.3,71021.4,76121.8,68228.7,zone_B,GIR_B_m3,48548.2,45798.0,,,,,,,,,
2020,4,1,2020-01-20,24.61,25.09,44.3,1.7727,1.122,7.7486,0.0,0.0,0.0,0,10.0,0.24,0.4647231720437685,0.8854560256532099,0.49999999999999994,0.8660254037844387,113241.4,0,98286.7,92719.0,,,,,,,,,21.36,20.15,,0.0,0.0,,1.4223,1.4313,,,112597.2,126263.5,142506.6,116769.5,101255.1,117871.0,116860.5,132282.8,144015.6,154358.1,138352.6,0.0,zone_A,NIR_A_m3,,,,,,,,,,,
2020,4,1,2020-01-20,24.61,25.09,44.3,1.7727,1.122,7.7486,0.0,0.0,0.0,0,10.0,0.24,0.4647231720437685,0.8854560256532099,0.49999999999999994,0.8660254037844387,,0,,,,,,,,,,,21.36,20.15,,0.0,0.0,,1.4223,1.4313,,,55616.7,62367.1,70390.3,48712.9,49934.0,53199.8,48820.0,65235.3,71021.4,76121.8,68228.7,0.0,zone_B,GIR_B_m3,55934.9,48548.2,45798.0,,,,,,,,
2020,5,1,2020-01-27,24.47,23.4,46.1,1.5513,1.147,8.0723,0.0,0.0,-0.51,0,10.0,0.24,0.5680647467311558,0.8229838658936564,0.49999999999999994,0.8660254037844387,112597.2,0,113241.4,98286.7,92719.0,,,,,,,,24.61,21.36,,0.0,0.0,,1.7727,1.4223,,,126263.5,142506.6,116769.5,101255.1,117871.0,116860.5,132282.8,144015.6,154358.1,138352.6,0.0,0.0,zone_A,NIR_A_m3,,,,,,,,,,,
2020,5,1,2020-01-27,24.47,23.4,46.1,1.5513,1.147,8.0723,0.0,0.0,-0.51,0,10.0,0.24,0.5680647467311558,0.8229838658936564,0.49999999999999994,0.8660254037844387,,0,,,,,,,,,,,24.61,21.36,,0.0,0.0,,1.7727,1.4223,,,62367.1,70390.3,48712.9,49934.0,53199.8,48820.0,65235.3,71021.4,76121.8,68228.7,0.0,0.0,zone_B,GIR_B_m3,55616.7,55934.9,48548.2,45798.0,,,,,,,
2020,6,2,2020-02-03,27.44,26.25,39.3,2.0749,1.122,8.3137,0.0,0.0,-1.015,1,10.0,0.26,0.6631226582407952,0.7485107481711011,0.8660254037844386,0.5000000000000001,126263.5,0,112597.2,113241.4,98286.7,92719.0,,,104211.075,10312.44990399953,,,24.47,24.61,20.15,0.0,0.0,0.0,1.5513,1.7727,0.24,,142506.6,116769.5,101255.1,117871.0,116860.5,132282.8,144015.6,154358.1,138352.6,0.0,0.0,94458.4,zone_A,NIR_A_m3,,,,,,,,,,,
2020,6,2,2020-02-03,27.44,26.25,39.3,2.0749,1.122,8.3137,0.0,0.0,-1.015,1,10.0,0.26,0.6631226582407952,0.7485107481711011,0.8660254037844386,0.5000000000000001,,0,,,,,,,,,,,24.47,24.61,20.15,0.0,0.0,0.0,1.5513,1.7727,0.24,,70390.3,48712.9,49934.0,53199.8,48820.0,65235.3,71021.4,76121.8,68228.7,0.0,0.0,46607.4,zone_B,GIR_B_m3,62367.1,55616.7,55934.9,48548.2,45798.0,,,51474.45,5093.750187893659,,
